idx,file,T,image_key,image_shape,qpos_key,qpos_shape,qpos_dim,action_key,action_shape,action_dim,num_datasets,status
29,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_35.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
30,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_36.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
31,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_37.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
32,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_38.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
33,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_39.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
34,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_4.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
35,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_40.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
36,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_41.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
37,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_42.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
38,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_43.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
39,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_44.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
40,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_45.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
41,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_46.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
42,/home/thien/TinyVLA/data/data/niryo_push_1cam_10d_50_hdf5/episode_47.hdf5,50,observations/images/front,"(50, 480, 640, 3)",observations/qpos,"(50, 7)",7,action,"(50, 10)",10,8,OK
